      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  2046,    13,    1.542,    1.910,    2.412,    2.661,    2.809,    2.532,    2.461,    2.137,    2.809,    2.661,    2.412,    1.910,    2.405,    2.516,    2.306,    2.549,    2.118,    2.396,    2.618,    1.542
  2056,    13,    2.050,    2.474,    2.965,    3.355,    3.563,    3.087,    3.118,    2.761,    3.563,    3.332,    2.939,    2.474,    2.965,    3.235,    2.813,    3.195,    2.686,    2.944,    3.355,    2.050
  2066,    13,    2.696,    3.038,    3.606,    4.120,    4.280,    3.666,    3.823,    3.512,    4.280,    4.039,    3.581,    3.038,    3.517,    3.916,    3.353,    3.987,    3.365,    3.606,    4.120,    2.696
  2076,    13,    3.440,    3.539,    4.338,    4.893,    4.973,    4.330,    4.508,    4.338,    4.973,    4.771,    4.298,    3.539,    3.988,    4.595,    3.942,    4.799,    4.165,    4.372,    4.893,    3.440
  2086,    13,    4.004,    4.232,    5.156,    5.598,    5.645,    5.066,    5.166,    5.156,    5.645,    5.536,    5.000,    4.004,    4.376,    5.240,    4.525,    5.598,    5.048,    5.219,    5.585,    4.232
  1996,    14,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    14,    0.179,    0.217,    0.282,    0.326,    0.352,    0.282,    0.309,    0.228,    0.324,    0.306,    0.326,    0.255,    0.297,    0.257,    0.246,    0.317,    0.217,    0.352,    0.282,    0.179
  2016,    14,    0.430,    0.554,    0.728,    0.818,    0.850,    0.728,    0.737,    0.587,    0.789,    0.783,    0.818,    0.615,    0.725,    0.633,    0.632,    0.808,    0.554,    0.850,    0.737,    0.430
  2026,    14,    0.771,    1.037,    1.308,    1.455,    1.456,    1.348,    1.301,    1.089,    1.430,    1.415,    1.455,    1.065,    1.308,    1.198,    1.188,    1.446,    1.037,    1.456,    1.357,    0.771
  2036,    14,    1.057,    1.404,    1.751,    1.922,    1.996,    1.864,    1.718,    1.514,    1.996,    1.920,    1.871,    1.404,    1.751,    1.742,    1.664,    1.922,    1.475,    1.856,    1.918,    1.057
  2046,    14,    1.427,    1.844,    2.283,    2.528,    2.665,    2.397,    2.247,    1.999,    2.665,    2.496,    2.283,    1.844,    2.258,    2.407,    2.156,    2.457,    1.966,    2.287,    2.528,    1.427
